Report generated on: 10-22-2020 18:38:11
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-WORL-MBTUPP.A","    Population (MMBtu/person)","67.91081890506271","65.88003081978702","64.73518912997594","64.46835462508781","66.93993307316717","67.45604760999827","67.63566807501796","68.58145276655517","69.89938170860415","69.20005470659962","66.95601516773034","65.33934221241643","64.11514337363013","63.490016299335146","63.25455502199958","64.08839653070908","64.87786598244482","64.15303936796795","63.80783007788215","64.1706759732809","65.34136952330712","65.03270475852821","65.60433006093488","67.07200673593267","69.66141584453447","71.10729591100238","72.53236202442254","73.56723931530162","73.58492458478524","71.79059815014222","75.09791461472777","76.28432182446899","77.11224333573227","77.71549474546487","77.52445177483693","77.20441030026474","76.84609938508487","77.05710379419631"
"INTL.47-34-WORL-TBTUUSDPP.A","    GDP (1000 Btu/2015$ GDP PPP)","10.507671402755376","10.156074254915934","10.107764583729967","9.951432496585243","9.906089325712268","9.792357763550793","9.66087003402304","9.589412332492403","8.114449780553022","7.872801106892004","7.111441749187909","6.943064401225063","6.79928315665653","6.7040120089216195","6.577374253932765","6.546078463832497","6.4638372495102265","6.227786156252506","6.126787896143819","6.035024664372376","5.938112841386824","5.844516416508408","5.8044287791861064","5.793482612885132","5.791659757812074","5.711028971168824","5.597447836689079","5.451354135343248","5.356392820197864","5.314606591691603","5.343033939350548","5.279228841825214","5.227874559839857","5.156755364777075","5.02958339114253","4.9007282741402705","4.7745445447309605","4.665597721263524"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-AFG-MBTUPP.A","    Population (MMBtu/person)","1.9902829587370823","2.2737729932221176","2.476057550972137","3.1123562977604866","3.212166236643484","3.206091479049969","3.332526591235134","5.434543297122344","9.573143958136207","9.214378634021795","8.726854929139892","3.567049985636651","2.1595226780561516","1.964311751662966","1.7616325396998394","1.3996407242653586","1.318606693412316","1.2229821749048069","1.1672808143688678","1.1416224087889384","0.9710328129547602","0.7365432711255625","0.668538661649472","0.7503633521957501","0.6638034575504376","0.8184187715747253","0.9998175876840902","1.2639880937503156","2.1111698110731996","3.3579667580742125","4.061555520719247","5.347433782037638","4.736874741480483","3.843173831852303","3.404758685145918","3.6463240488489945","3.310442557138537","4.00138412795846"
"INTL.47-34-AFG-TBTUUSDPP.A","    GDP (1000 Btu/2015$ GDP PPP)","0","0","0","0","0","0","0","0","3.6772064572381953","3.890453508211778","3.977495986052483","1.9556901349733813","1.2691349740135096","1.6798722472574557","2.0922204511290166","1.1758813037506437","1.217396940060123","1.2221046026456992","1.2459336169464217","1.3088009914119867","1.2136377053668579","1.0147994222319308","0.5839288203638712","0.6345106181109721","0.5726910446331341","0.6665701760912258","0.7686191663301446","0.7829504679841381","1.4327519120055463","1.9911954946865764","2.3978761651701146","2.997621313011908","2.4767048875333884","1.9543300721319345","1.7372351382633293","1.9536226633163076","1.760951529745477","2.0379060941141156"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-ALB-MBTUPP.A","    Population (MMBtu/person)","60.75290275384473","59.204713458311794","58.36192162850673","59.5232097960153","58.67682750151277","57.26436102552498","54.554686870223655","53.326846191744856","52.668682558844885","49.21577929874652","34.94914183656983","29.363397602421028","25.93779775602281","23.10761605610659","22.30344022521837","24.912199342508423","27.54142926420847","25.14611620129597","26.952941503916364","24.163779540650292","31.32934599044218","29.690814680184662","32.19567774049347","36.40848489892904","38.69708631714531","38.70388541636516","36.72501449575394","31.913451810510672","35.2168276402469","38.70478492761921","43.52986361836434","36.152155829134216","35.836618744830496","43.98836549971559","40.16365832410916","40.33060019838733","43.084564685696726","38.79980142789103"
"INTL.47-34-ALB-TBTUUSDPP.A","    GDP (1000 Btu/2015$ GDP PPP)","0","0","0","0","0","0","0","0","11.097929907471807","9.609575951285803","7.611800694262716","8.867216810886775","8.35164256391327","6.682607282594336","5.864998055881369","5.720268759849621","5.769902431275964","5.910468967384283","5.832117079593255","4.624422186296948","5.6350108887044525","4.9481792561263696","5.142025035316206","5.484835563935679","5.493409123901723","5.164907465267564","4.612567612261323","3.748871125630959","3.807305485623944","4.008614040361355","4.310626262776172","3.4681683704046637","3.373055009564576","4.084749489279713","3.655132055763479","3.5820066518802443","3.698917933116868","3.2071242203750496"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-DZA-MBTUPP.A","    Population (MMBtu/person)","40.61461893773645","33.461443530841784","46.55173616422643","50.728287405944585","51.95312478410121","46.64500656635807","46.153333059554186","47.878466521545455","49.62773527256742","46.81086797670712","47.27017102821974","51.28567309162841","48.16254909768232","43.31756448153536","43.703878667419964","44.83112252681045","43.17631522110816","40.46951146778634","41.42627541753991","40.69085996623254","41.04536177153886","40.55689969084673","41.04365889521271","41.008842693757046","39.624316003100006","44.96155402588426","46.36260777971541","45.35788116357241","48.29794286830368","50.49328008951224","49.41325342389091","52.88887825663031","56.174975989744","53.47195741677368","59.13571711496657","59.22148853022961","57.63404904644053","57.80774187656037"
